Address,lon,lat
"SERANGOON GARDEN ESTATE, CRICHTON CLOSE, Singapore",103.8649395,1.3576646
"SERANGOON GARDEN ESTATE, RIPLEY CRESCENT, Singapore",103.8715416,1.3639142
"SERANGOON GARDEN ESTATE, CHEPSTOW CLOSE, Singapore",103.8721287,1.3633865
"SERANGOON GARDEN ESTATE, CROWHURST DRIVE, Singapore",103.8658082,1.3639688
"SERANGOON GARDEN ESTATE, LICHFIELD ROAD, Singapore",103.8700937,1.3644484
"SERANGOON GARDEN ESTATE, WALMER DRIVE, Singapore",103.8658082,1.3639688
"SERANGOON GARDEN ESTATE, STOKESAY DRIVE, Singapore",103.8658082,1.3639688
"SERANGOON GARDEN ESTATE, COOLING CLOSE, Singapore",103.864699,1.3612148
"SERANGOON GARDEN ESTATE, ALNWICK ROAD, Singapore",103.8658082,1.3639688
"SERANGOON GARDEN ESTATE, LUDLOW PLACE, Singapore",103.8658082,1.3639688
"SERANGOON GARDEN ESTATE, RAGLAN GROVE, Singapore",103.8687974,1.3638311
"SENTOSA COVE, CORAL ISLAND, Singapore",103.8303209,1.2494041
"SENTOSA COVE, COVE DRIVE, Singapore",103.8394622,1.2467881
"SENTOSA COVE, TREASURE ISLAND, Singapore",103.8303209,1.2494041
"SENNETT ESTATE, MACPHERSON ROAD, Singapore",103.8732253,1.3318726
"SENNETT ESTATE, PANG SENG ROAD, Singapore",103.8732253,1.3318726
"SENNETT ESTATE, JALAN WANGI, Singapore",103.8732253,1.3318726
"SENNETT ESTATE, MULBERRY AVENUE, Singapore",103.8732253,1.3318726
"SENNETT ESTATE, BELIMBING AVENUE, Singapore",103.8732253,1.3318726
"SENNETT ESTATE, BUTTERFLY AVENUE, Singapore",103.8732253,1.3318726
"SENNETT ESTATE, SIANG KUANG AVENUE, Singapore",103.8732253,1.3318726
"SENNETT ESTATE, CHEMPAKA AVENUE, Singapore",103.8732253,1.3318726
"SENNETT ESTATE, LICHI AVENUE, Singapore",103.8732253,1.3318726
"SENNETT ESTATE, WAN THO AVENUE, Singapore",103.8732253,1.3318726
"SENNETT ESTATE, PUAY HEE AVENUE, Singapore",103.8732253,1.3318726
"SENNETT ESTATE, PHENG GECK AVENUE, Singapore",103.8698759,1.331343
"SENNETT ESTATE, CEDAR AVENUE, Singapore",103.8732253,1.3318726
"SENNETT ESTATE, ANGSANA AVENUE, Singapore",103.8732253,1.3318726
"SENNETT ESTATE, JALAN KEMBOJA, Singapore",103.8732253,1.3318726
"SENNETT ESTATE, KEE CHOE AVENUE, Singapore",103.8732253,1.3318726
"SENNETT ESTATE, WILLOW AVENUE, Singapore",103.8732253,1.3318726
"SENNETT ESTATE, KENANGA AVENUE, Singapore",103.8761256,1.3323506
"SENNETT ESTATE, SIAK KEW AVENUE, Singapore",103.8732253,1.3318726
"SENNETT ESTATE, LORONG BUNGA, Singapore",103.8732253,1.3318726
"SEMBAWANG STRAITS ESTATE, JALAN KERAYONG, Singapore",103.8376879,1.4581623
"SEMBAWANG STRAITS ESTATE, JALAN MACHANG, Singapore",103.8376879,1.4581623
"SEMBAWANG STRAITS ESTATE, JALAN GAPIS, Singapore",103.8376879,1.4581623
"SEMBAWANG STRAITS ESTATE, SEMBAWANG ROAD, Singapore",103.8285321,1.4504191
"SEMBAWANG STRAITS ESTATE, JALAN SANKAM, Singapore",103.8376879,1.4581623
"SEMBAWANG STRAITS ESTATE, ANDREWS AVENUE, Singapore",103.8376879,1.4581623
"SEMBAWANG SQUARE ESTATE, SEMBAWANG ROAD, Singapore",103.8267034,1.4324734
